time,q,qdot,error,target_angle
1404.33,1.49999548188,0.00988148905064,4.51812370805e-06,1.5
1404.346,1.49999009888,-0.00398979452245,9.90112290022e-06,1.5
1404.386,1.49999975639,-0.00476333004909,2.43606350203e-07,1.5
1404.431,1.49999949422,0.00455192429131,5.05780907822e-07,1.5
1404.475,1.49998354857,-0.00202331774603,1.64514271344e-05,1.5
1404.519,1.49998901249,-0.00639696450616,1.09875063421e-05,1.5
1404.519,1.50000541661,-0.00204247200974,5.41660904041e-06,1.5
1404.567,1.500011357,0.00637427441882,1.13570006075e-05,1.5
1404.584,1.50000651942,0.00506333619236,6.51942484176e-06,1.5
1404.631,1.4999981886,0.00986167368859,1.81140059929e-06,1.5
1404.672,1.49999220014,-0.00400571236392,7.79985670007e-06,1.5
1404.717,1.50000137613,-0.00477582997424,1.37613243556e-06,1.5
1404.746,1.50000620014,0.00546203555423,6.20014213926e-06,1.5
1404.773,1.49999622102,0.0117258004509,3.77897888804e-06,1.5
1404.817,1.49998655512,-0.00318984188998,1.34448781326e-05,1.5
1404.86,1.49999615473,-0.00980838268875,3.84527152342e-06,1.5
1404.861,1.50000803466,-0.00375000643973,8.03465998978e-06,1.5
1404.903,1.50000541695,-0.00141946325054,5.41695024925e-06,1.5
1404.925,1.50000179318,0.00335222791252,1.79318382276e-06,1.5
1404.967,1.49998857443,-0.00380474048127,1.14255685411e-05,1.5
1405.014,1.4999964032,-0.00512603941501,3.59679707618e-06,1.5
1405.058,1.50000631332,0.00546120281329,6.31331839074e-06,1.5
1405.102,1.49999631498,0.0117246271962,3.68502055714e-06,1.5
1405.102,1.49998662323,-0.00319036187679,1.33767685293e-05,1.5
1405.145,1.49999621554,-0.00980875905197,3.78445978377e-06,1.5
1405.163,1.50000807638,-0.00375038790476,8.07637636058e-06,1.5
